set_,card_name,rarity,mana_cost,color,type_,sub_type,power_,toughness,quantity,nm,lp,pl,foil,text_
Dragon's Maze,Voice of Resurgence,Mythic Rare,{G}{W},gw,Creature,elemental,2,2,0,0,0,0,0,"Whenever an opponent casts a spell during your turn or when Voice of Resurgence dies, create a green and white Elemental creature token with ""This creature's power and toughness are each equal to the number of creatures you control."""
Dragon's Maze,Vorel of the Hull Clade,Rare,{1}{G}{U},ug,Creature,"human, merfolk",1,4,0,0,0,0,0,"{G}{U}, {T}: Double the number of each kind of counter on target artifact, creature, or land."
Dragon's Maze,Warleader's Helix,Uncommon,{2}{R}{W},rw,Instant,0,0,0,2,1,1,0,0,Warleader's Helix deals 4 damage to target creature or player and you gain 4 life.
Dragon's Maze,Warped Physique,Uncommon,{U}{B},ub,Instant,0,0,0,3,3,0,0,0,"Target creature gets +X/-X until end of turn, where X is the number of cards in your hand."
Dragon's Maze,Woodlot Crawler,Uncommon,{U}{B},ub,Creature,insect,2,1,0,0,0,0,0,"Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)
Protection from green"
Dragon's Maze,Zhur-Taa Ancient,Rare,{3}{R}{G},rg,Creature,"beast, mutant",7,5,0,0,0,0,0,"Whenever a player taps a land for mana, that player adds one mana to his or her mana pool of any type that land produced."
Dragon's Maze,Zhur-Taa Druid,Common,{R}{G},rg,Creature,"human, druid",1,1,3,0,3,0,0,"{T}: Add {G} to your mana pool.
Whenever you tap Zhur-Taa Druid for mana, it deals 1 damage to each opponent."
Dragon's Maze,Alive,Uncommon,{3}{G},g,Sorcery,0,0,0,2,2,0,0,0,"Create a 3/3 green Centaur creature token.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Well,Uncommon,{W},r,Sorcery,0,0,0,2,2,0,0,0,"You gain 2 life for each creature you control.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Armed,Uncommon,{1}{R},r,Sorcery,0,0,0,1,1,0,0,0,"Target creature gets +1/+1 and gains double strike until end of turn.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Dangerous,Uncommon,{3}{G},g,Sorcery,0,0,0,1,1,0,0,0,"All creatures able to block target creature this turn do so.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Beck,Rare,{G}{U},ug,Sorcery,0,0,0,0,0,0,0,0,"Whenever a creature enters the battlefield this turn, you may draw a card.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Call,Rare,{4}{W}{U},uw,Sorcery,0,0,0,0,0,0,0,0,"Create four 1/1 white Bird creature tokens with flying.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Breaking,Rare,{U}{B},bu,Sorcery,0,0,0,0,0,0,0,0,"Target player puts the top eight cards of his or her library into his or her graveyard.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Entering,Rare,{4}{B}{R},br,Sorcery,0,0,0,0,0,0,0,0,"Put a creature card from a graveyard onto the battlefield under your control. It gains haste until end of turn.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Catch,Rare,{1}{U}{R},ur,Sorcery,0,0,0,0,0,0,0,0,"Gain control of target permanent until end of turn. Untap it. It gains haste until end of turn.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Release,Rare,{4}{R}{W},rw,Sorcery,0,0,0,0,0,0,0,0,"Each player sacrifices an artifact, a creature, an enchantment, a land, and a planeswalker.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Down,Uncommon,{3}{B},b,Sorcery,0,0,0,2,2,0,0,0,"Target player discards two cards.
Fuse (You may cast one or both halves of this card from your hand.)"
