Set,Card Name,Rarity,Mana Cost,color,Type,sub_type,Power,Toughness,quantity,nm,lp,p,f,Text
Gatecrash,Guildscorn Ward,Common,{W},w,Enchantment,0,0,0,0,0,0,0,0,"Enchant creature
Enchanted creature has protection from multicolored."
Gatecrash,Hold the Gates,Uncommon,{2}{W},w,Enchantment,0,0,0,1,0,1,0,0,Creatures you control get +0/+1 for each Gate you control and have vigilance.
Gatecrash,Holy Mantle,Uncommon,{2}{W}{W},w,Enchantment,0,0,0,1,0,1,0,0,"Enchant creature
Enchanted creature gets +2/+2 and has protection from creatures."
Gatecrash,Knight of Obligation,Uncommon,{3}{W},w,Creature,"human, knight",2,4,0,0,0,0,0,"Vigilance
Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)"
Gatecrash,Knight Watch,Common,{4}{W},w,Sorcery,0,0,0,2,0,2,0,0,Create two 2/2 white Knight creature tokens with vigilance.
Gatecrash,Luminate Primordial,Rare,{5}{W}{W},w,Creature,avatar,4,7,0,0,0,0,0,"Vigilance
When Luminate Primordial enters the battlefield, for each opponent, exile up to one target creature that player controls and that player gains life equal to its power."
Gatecrash,Murder Investigation,Uncommon,{1}{W},w,Enchantment,0,0,0,1,1,0,0,0,"Enchant creature you control
When enchanted creature dies, create X 1/1 white Soldier creature tokens, where X is its power."
Gatecrash,Nav Squad Commandos,Common,{4}{W},w,Creature,"human, soldier",3,5,5,0,5,0,0,"Battalion â€” Whenever Nav Squad Commandos and at least two other creatures attack, Nav Squad Commandos gets +1/+1 until end of turn. Untap it."
Gatecrash,Righteous Charge,Uncommon,{1}{W}{W},w,Sorcery,0,0,0,2,0,2,0,0,Creatures you control get +2/+2 until end of turn.
Gatecrash,Shielded Passage,Common,{W},w,Instant,0,0,0,0,0,0,0,0,Prevent all damage that would be dealt to target creature this turn.
Gatecrash,Smite,Common,{W},w,Instant,0,0,0,0,0,0,0,0,Destroy target blocked creature.
Gatecrash,Syndic of Tithes,Common,{1}{W},w,Creature,"humsn, cleric",2,2,1,0,1,0,0,"Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)"
Gatecrash,Urbis Protector,Uncommon,{4}{W}{W},w,Creature,"human, cleric",1,1,2,0,2,0,0,"When Urbis Protector enters the battlefield, create a 4/4 white Angel creature token with flying."
Gatecrash,Zarichi Tiger,Common,{3}{W},w,Creature,cat,2,3,0,0,0,0,0,"{1}{W}, {T}: You gain 2 life."
Gatecrash,Aetherize,Uncommon,{3}{U},u,Instant,0,0,0,0,0,0,0,0,Return all attacking creatures to their owner's hand.
Gatecrash,Agoraphobia,Uncommon,{1}{U},u,Enchantment,0,0,0,1,1,0,0,0,"Enchant creature
Enchanted creature gets -5/-0.
{2}{U}: Return Agoraphobia to its owner's hand."
Gatecrash,Clinging Anemones,Common,{3}{U},u,Creature,jellyfish,1,4,1,0,1,0,0,"Defender
Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)"
Gatecrash,Cloudfin Raptor,Common,{U},u,Creature,"bird, mutant",0,1,7,3,4,0,0,"Flying
Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)"
Gatecrash,Diluvian Primordial,Rare,{5}{U}{U},u,Creature,avatar,5,5,0,0,0,0,0,"Flying
When Diluvian Primordial enters the battlefield, for each opponent, you may cast up to one target instant or sorcery card from that player's graveyard without paying its mana cost. If a card cast this way would be put into a graveyard this turn, exile it instead."
Gatecrash,Enter the Infinite,Mythic Rare,{8}{U}{U}{U}{U},u,Sorcery,0,0,0,0,0,0,0,0,"Draw cards equal to the number of cards in your library, then put a card from your hand on top of your library. You have no maximum hand size until your next turn."
Gatecrash,Frilled Oculus,Common,{1}{U},u,Creature,homunculuc,1,3,6,2,4,0,0,{1}{G}: Frilled Oculus gets +2/+2 until end of turn. Activate this ability only once each turn.
Gatecrash,Gridlock,Uncommon,{X}{U},u,Instant,0,0,0,2,2,0,0,0,Tap X target nonland permanents.
Gatecrash,Hands of Binding,Common,{1}{U},u,Sorcery,0,0,0,5,2,3,0,0,"Tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
Gatecrash,Incursion Specialist,Uncommon,{1}{U},u,Creature,"human, wizard",1,3,2,0,2,0,0,"Whenever you cast your second spell each turn, Incursion Specialist gets +2/+0 until end of turn and can't be blocked this turn."
Gatecrash,Keymaster Rogue,Common,{3}{U},u,Creature,"human, rogue",3,2,3,0,3,0,0,"Keymaster Rogue can't be blocked.
When Keymaster Rogue enters the battlefield, return a creature you control to its owner's hand."
Gatecrash,Last Thoughts,Common,{3}{U},u,Sorcery,0,0,0,5,0,5,0,0,"Draw a card.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
Gatecrash,Leyline Phantom,Common,{4}{U},u,Creature,illusion,5,5,2,0,2,0,0,"When Leyline Phantom deals combat damage, return it to its owner's hand. (Return it only if it survived combat.)"
Gatecrash,Metropolis Sprite,Common,{1}{U},u,Creature,"faerie, rogue",1,2,0,0,0,0,0,"Flying
{U}: Metropolis Sprite gets +1/-1 until end of turn."
Gatecrash,Mindeye Drake,Uncommon,{4}{U},u,Creature,drake,2,5,3,3,0,0,0,"Flying
When Mindeye Drake dies, target player puts the top five cards of his or her library into his or her graveyard."
Gatecrash,Rapid Hybridization,Uncommon,{U},u,Instant,0,0,0,0,0,0,0,0,Destroy target creature. It can't be regenerated. That creature's controller creates a 3/3 green Frog Lizard creature token.
Gatecrash,Realmwright,Rare,{U},u,Creature,"vedalken ,wizard",1,1,0,0,0,0,0,"As Realmwright enters the battlefield, choose a basic land type.
Lands you control are the chosen type in addition to their other types."
Gatecrash,Sage's Row Denizen,Common,{2}{U},u,Creature,"vedalken, wizard",2,3,3,0,3,0,0,"Whenever another blue creature enters the battlefield under your control, target player puts the top two cards of his or her library into his or her graveyard."
Gatecrash,Sapphire Drake,Uncommon,{5}{U},u,Creature,drake,4,4,1,0,1,0,0,"Flying
Each creature you control with a +1/+1 counter on it has flying."
Gatecrash,Scatter Arc,Common,{3}{U},u,Instant,0,0,0,0,0,0,0,0,"Counter target noncreature spell.
Draw a card."
Gatecrash,Simic Fluxmage,Uncommon,{2}{U},u,Creature,"merfolk, wizard",1,2,0,0,0,0,0,"Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)
{1}{U}, {T}: Move a +1/+1 counter from Simic Fluxmage onto target creature."
Gatecrash,Simic Manipulator,Rare,{1}{U}{U},u,Creature,"mutant, wizard",0,1,1,0,1,0,0,"Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)
{T}, Remove one or more +1/+1 counters from Simic Manipulator: Gain control of target creature with power less than or equal to the number of +1/+1 counters removed this way."
Gatecrash,Skygames,Common,{1}{U},u,Enchantment,0,0,0,1,0,1,0,0,"Enchant land
Enchanted land has ""{T}: Target creature gains flying until end of turn. Activate this ability only any time you could cast a sorcery."""
Gatecrash,Spell Rupture,Common,{1}{U},u,Instant,0,0,0,3,0,3,0,0,"Counter target spell unless its controller pays {X}, where X is the greatest power among creatures you control."
Gatecrash,Stolen Identity,Rare,{4}{U}{U},u,Sorcery,0,0,0,0,0,0,0,0,"Create a token that's a copy of target artifact or creature.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
Gatecrash,Totally Lost,Common,{4}{U},u,Instant,0,0,0,3,0,3,0,0,Put target nonland permanent on top of its owner's library.
Gatecrash,Voidwalk,Uncommon,{3}{U},u,Sorcery,0,0,0,3,0,3,0,0,"Exile target creature. Return it to the battlefield under its owner's control at the beginning of the next end step.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
Gatecrash,Way of the Thief,Common,{3}{U},u,Enchantment,0,0,0,3,0,3,0,0,"Enchant creature
Enchanted creature gets +2/+2.
Enchanted creature can't be blocked as long as you control a Gate."
Gatecrash,Balustrade Spy,Common,{3}{B},b,Creature,"vampire, rogue",2,3,2,0,2,0,0,"Flying
When Balustrade Spy enters the battlefield, target player reveals cards from the top of his or her library until he or she reveals a land card, then puts those cards into his or her graveyard."
Gatecrash,Basilica Screecher,Common,{1}{B},b,Creature,bat,1,2,5,2,3,0,0,"Flying
Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)"
Gatecrash,Contaminated Ground,Common,{1}{B},b,Enchantment,0,0,0,3,0,3,0,0,"Enchant land
Enchanted land is a Swamp.
Whenever enchanted land becomes tapped, its controller loses 2 life."
Gatecrash,Corpse Blockade,Common,{2}{B},b,Creature,zombie,1,4,0,0,0,0,0,"Defender
Sacrifice another creature: Corpse Blockade gains deathtouch until end of turn."
Gatecrash,Crypt Ghast,Rare,{3}{B},b,Creature,spirit,2,2,0,0,0,0,0,"Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)
Whenever you tap a Swamp for mana, add {B} to your mana pool (in addition to the mana the land produces)."
Gatecrash,Death's Approach,Common,{B},b,Enchantment,0,0,0,6,2,4,0,0,"Enchant creature
Enchanted creature gets -X/-X, where X is the number of creature cards in its controller's graveyard."
Gatecrash,Devour Flesh,Common,{1}{B},b,Instant,0,0,0,4,1,3,0,0,"Target player sacrifices a creature, then gains life equal to that creature's toughness."
Gatecrash,Dying Wish,Uncommon,{1}{B},b,Enchantment,0,0,0,1,1,0,0,0,"Enchant creature you control
When enchanted creature dies, target player loses X life and you gain X life, where X is its power."
Gatecrash,Gateway Shade,Uncommon,{2}{B},b,Creature,shade,1,1,0,0,0,0,0,"{B}: Gateway Shade gets +1/+1 until end of turn.
Tap an untapped Gate you control: Gateway Shade gets +2/+2 until end of turn."
Gatecrash,Grisly Spectacle,Common,{2}{B}{B},b,Instant,0,0,0,4,0,4,0,0,Destroy target nonartifact creature. Its controller puts a number of cards equal to that creature's power from the top of his or her library into his or her graveyard.
Gatecrash,Gutter Skulk,Common,{1}{B},b,Creature,"zombie, rat",2,2,5,0,5,0,0,
Gatecrash,Horror of the Dim,Common,{4}{B},b,Creature,horror,3,4,2,0,2,0,0,{U}: Horror of the Dim gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
Gatecrash,Illness in the Ranks,Uncommon,{B},b,Enchantment,0,0,0,1,1,0,0,0,Creature tokens get -1/-1.
Gatecrash,Killing Glare,Uncommon,{X}{B},b,Instant,0,0,0,1,1,0,0,0,Destroy target creature with power X or less.
Gatecrash,Lord of the Void,Mythic Rare,{4}{B}{B}{B},b,Creature,demon,7,7,0,0,0,0,0,"Flying
Whenever Lord of the Void deals combat damage to a player, exile the top seven cards of that player's library, then put a creature card from among them onto the battlefield under your control."
Gatecrash,Mental Vapors,Uncommon,{3}{B},b,Sorcery,0,0,0,0,0,0,0,0,"Target player discards a card.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
Gatecrash,Midnight Recovery,Common,{3}{B},b,Sorcery,0,0,0,1,0,1,0,0,"Return target creature card from your graveyard to your hand.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
Gatecrash,Ogre Slumlord,Rare,{3}{B}{B},b,Creature,"ogre, rogue",3,3,0,0,0,0,0,"Whenever another nontoken creature dies, you may create a 1/1 black Rat creature token.
Rats you control have deathtouch."
Gatecrash,Sepulchral Primordial,Rare,{5}{B}{B},b,Creature,avatar,5,4,0,0,0,0,0,"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
When Sepulchral Primordial enters the battlefield, for each opponent, you may put up to one target creature card from that player's graveyard onto the battlefield under your control."
Gatecrash,Shadow Alley Denizen,Common,{B},b,Creature,"vampire, rogue",1,1,1,1,0,0,0,"Whenever another black creature enters the battlefield under your control, target creature gains intimidate until end of turn. (It can't be blocked except by artifact creatures and/or creatures that share a color with it.)"
Gatecrash,Shadow Slice,Common,{4}{B},b,Sorcery,0,0,0,2,0,2,0,0,"Target opponent loses 3 life.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
Gatecrash,Slate Street Ruffian,Common,{2}{B},b,Creature,"human, warrior",2,2,5,0,5,0,0,"Whenever Slate Street Ruffian becomes blocked, defending player discards a card."
Gatecrash,Smog Elemental,Uncommon,{4}{B}{B},b,Creature,elemental,3,3,0,0,0,0,0,"Flying
Creatures with flying your opponents control get -1/-1."
Gatecrash,Syndicate Enforcer,Common,{3}{B},b,Creature,"human, rogue",3,2,0,0,0,0,0,"Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)"
Gatecrash,Thrull Parasite,Uncommon,{B},b,Creature,thrull,1,1,0,0,0,0,0,"Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)
{T}, Pay 2 life: Remove a counter from target nonland permanent."
Gatecrash,Undercity Informer,Uncommon,{2}{B},b,Creature,"human, rogue",2,3,1,1,0,0,0,"{1}, Sacrifice a creature: Target player reveals cards from the top of his or her library until he or she reveals a land card, then puts those cards into his or her graveyard."
Gatecrash,Undercity Plague,Rare,{4}{B}{B},b,Sorcery,0,0,0,1,1,0,0,0,"Target player loses 1 life, discards a card, then sacrifices a permanent.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
Gatecrash,Wight of Precinct Six,Uncommon,{1}{B},b,Creature,zombie,1,1,2,2,0,0,0,Wight of Precinct Six gets +1/+1 for each creature card in your opponents' graveyards.
Gatecrash,Act of Treason,Common,{2}{R},r,Sorcery,0,0,0,2,0,2,0,0,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.)
Gatecrash,Bomber Corps,Common,{1}{R},r,Creature,"human, soldier",1,2,1,0,1,0,0,"Battalion â€” Whenever Bomber Corps and at least two other creatures attack, Bomber Corps deals 1 damage to target creature or player."
Gatecrash,Cinder Elemental,Uncommon,{3}{R},r,Creature,elemental,2,2,0,0,0,0,0,"{X}{R}, {T}, Sacrifice Cinder Elemental: Cinder Elemental deals X damage to target creature or player."
Gatecrash,Crackling Perimeter,Uncommon,{1}{R},r,Enchantment,0,0,0,2,2,0,0,0,Tap an untapped Gate you control: Crackling Perimeter deals 1 damage to each opponent.
Gatecrash,Ember Beast,Common,{2}{R},r,Creature,beast,3,4,1,0,1,0,0,Ember Beast can't attack or block alone.
Gatecrash,Firefist Striker,Uncommon,{1}{R},r,Creature,"human, soldier",2,1,2,1,1,0,0,"Battalion â€” Whenever Firefist Striker and at least two other creatures attack, target creature can't block this turn."
Gatecrash,Five-Alarm Fire,Rare,{1}{R}{R},r,Enchantment,0,0,0,0,0,0,0,0,"Whenever a creature you control deals combat damage, put a blaze counter on Five-Alarm Fire.
Remove five blaze counters from Five-Alarm Fire: Five-Alarm Fire deals 5 damage to target creature or player."
Gatecrash,Foundry Street Denizen,Common,{R},r,Creature,"goblin, warrior",1,1,2,0,2,0,0,"Whenever another red creature enters the battlefield under your control, Foundry Street Denizen gets +1/+0 until end of turn."
Gatecrash,Furious Resistance,Common,{R},r,Instant,0,0,0,2,0,2,0,0,Target blocking creature gets +3/+0 and gains first strike until end of turn.
Gatecrash,Hellkite Tyrant,Mythic Rare,{4}{R}{R},r,Creature,dragon,6,5,0,0,0,0,0,"Flying, trample
Whenever Hellkite Tyrant deals combat damage to a player, gain control of all artifacts that player controls.
At the beginning of your upkeep, if you control twenty or more artifacts, you win the game."
Gatecrash,Hellraiser Goblin,Uncommon,{2}{R},r,Creature,"goblin, berserker",2,2,2,2,0,0,0,Creatures you control have haste and attack each combat if able.
Gatecrash,Homing Lightning,Uncommon,{2}{R}{R},r,Instant,0,0,0,1,0,1,0,0,Homing Lightning deals 4 damage to target creature and each other creature with the same name as that creature.
Gatecrash,Legion Loyalist,Rare,{R},r,Creature,"goblin, soldier",1,1,0,0,0,0,0,"Haste
Battalion â€” Whenever Legion Loyalist and at least two other creatures attack, creatures you control gain first strike and trample until end of turn and can't be blocked by creature tokens this turn."
Gatecrash,Madcap Skills,Common,{1}{R},r,Enchantment,0,0,0,3,0,3,0,0,"Enchant creature
Enchanted creature gets +3/+0 and has menace."
Gatecrash,Mark for Death,Uncommon,{3}{R},r,Sorcery,0,0,0,1,0,1,0,0,Target creature an opponent controls blocks this turn if able. Untap that creature. Other creatures that player controls can't block this turn.
Gatecrash,Massive Raid,Common,{1}{R}{R},r,Instant,0,0,0,2,0,2,0,0,Massive Raid deals damage to target creature or player equal to the number of creatures you control.
Gatecrash,Molten Primordial,Rare,{5}{R}{R},r,Creature,avatar,6,4,0,0,0,0,0,"Haste
When Molten Primordial enters the battlefield, for each opponent, gain control of up to one target creature that player controls until end of turn. Untap those creatures. They gain haste until end of turn."
Gatecrash,Mugging,Common,{R},r,Sorcery,0,0,0,2,0,1,1,0,Mugging deals 2 damage to target creature. That creature can't block this turn.
Gatecrash,Ripscale Predator,Uncommon,{4}{R}{R},r,Creature,lizard,6,5,0,0,0,0,0,Menace (This creature can't be blocked except by two or more creatures.)
Gatecrash,Scorchwalker,Common,{3}{R},r,Creature,elemental,5,1,1,0,1,0,0,"Bloodrush â€” {1}{R}{R}, Discard Scorchwalker: Target attacking creature gets +5/+1 until end of turn."
Gatecrash,Skinbrand Goblin,Common,{1}{R},r,Creature,"goblin, warrior",2,1,5,0,5,0,0,"Bloodrush â€” {R}, Discard Skinbrand Goblin: Target attacking creature gets +2/+1 until end of turn."
Gatecrash,Skullcrack,Uncommon,{1}{R},r,Instant,0,0,0,0,0,0,0,0,Players can't gain life this turn. Damage can't be prevented this turn. Skullcrack deals 3 damage to target player.
Gatecrash,Structural Collapse,Common,{5}{R},r,Sorcery,0,0,0,4,0,4,0,0,Target player sacrifices an artifact and a land. Structural Collapse deals 2 damage to that player.
Gatecrash,Tin Street Market,Common,{4}{R},r,Enchantment,0,0,0,3,0,3,0,0,"Enchant land
Enchanted land has ""{T}, Discard a card: Draw a card."""
Gatecrash,Towering Thunderfist,Common,{4}{R},r,Creature,"gaint, soldier",4,4,1,0,1,0,0,{W}: Towering Thunderfist gains vigilance until end of turn.
Gatecrash,Viashino Shanktail,Uncommon,{3}{R},r,Creature,"viashino, warrior",3,1,1,0,1,0,0,"First strike
Bloodrush â€” {2}{R}, Discard Viashino Shanktail: Target attacking creature gets +3/+1 and gains first strike until end of turn."
Gatecrash,Warmind Infantry,Common,{2}{R},r,Creature,"elemental, soldier",2,3,2,0,2,0,0,"Battalion â€” Whenever Warmind Infantry and at least two other creatures attack, Warmind Infantry gets +2/+0 until end of turn."
Gatecrash,Wrecking Ogre,Rare,{4}{R},r,Creature,"orge, warrior",3,3,0,0,0,0,0,"Double strike
Bloodrush â€” {3}{R}{R}, Discard Wrecking Ogre: Target attacking creature gets +3/+3 and gains double strike until end of turn."
Gatecrash,Adaptive Snapjaw,Common,{4}{G},g,Creature,"lizard, beast",6,2,3,0,2,1,0,"Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)"
Gatecrash,Alpha Authority,Uncommon,{1}{G},g,Enchantment,0,0,0,0,0,0,0,0,"Enchant creature
Enchanted creature has hexproof and can't be blocked by more than one creature."
Gatecrash,Burst of Strength,Common,{G},g,Instant,0,0,0,1,0,0,0,0,Put a +1/+1 counter on target creature and untap it.
Gatecrash,Crocanura,Common,{2}{G},g,Creature,"crocodile, frog",1,3,4,0,4,0,0,"Reach (This creature can block creatures with flying.)
Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)"
Gatecrash,Crowned Ceratok,Uncommon,{3}{G},g,Creature,rhino,4,3,3,3,0,0,0,"Trample
Each creature you control with a +1/+1 counter on it has trample."
Gatecrash,Disciple of the Old Ways,Common,{1}{G},g,Creature,"human, warrior",2,2,0,0,0,0,0,{R}: Disciple of the Old Ways gains first strike until end of turn.
Gatecrash,Experiment One,Uncommon,{G},g,Creature,"human, ooze",1,1,5,3,2,0,0,"Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)
Remove two +1/+1 counters from Experiment One: Regenerate Experiment One."
Gatecrash,Forced Adaptation,Common,{G},g,Enchantment,0,0,0,5,0,3,2,0,"Enchant creature
At the beginning of your upkeep, put a +1/+1 counter on enchanted creature."
Gatecrash,Giant Adephage,Mythic Rare,{5}{G}{G},g,Creature,insect,7,7,0,0,0,0,0,"Trample
Whenever Giant Adephage deals combat damage to a player, create a token that's a copy of Giant Adephage."
Gatecrash,Greenside Watcher,Common,{1}{G},g,Creature,"elf, druid",2,1,1,0,1,0,0,{T}: Untap target Gate.
Gatecrash,Gyre Sage,Rare,{1}{G},g,Creature,"elf, druid",1,2,0,0,0,0,0,"Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)
{T}: Add {G} to your mana pool for each +1/+1 counter on Gyre Sage."
Gatecrash,Hindervines,Uncommon,{2}{G},g,Instant,0,0,0,1,0,1,0,0,Prevent all combat damage that would be dealt this turn by creatures with no +1/+1 counters on them.
Gatecrash,Ivy Lane Denizen,Common,{3}{G},g,Creature,"elf, warrior",2,3,2,0,2,0,0,"Whenever another green creature enters the battlefield under your control, put a +1/+1 counter on target creature."
Gatecrash,Miming Slime,Uncommon,{2}{G},g,Sorcery,0,0,0,1,1,0,0,0,"Create an X/X green Ooze creature token, where X is the greatest power among creatures you control."
Gatecrash,Naturalize,Common,{1}{G},g,Instant,0,0,0,1,0,1,0,0,Destroy target artifact or enchantment.
Gatecrash,Ooze Flux,Rare,{3}{G},g,Enchantment,0,0,0,0,0,0,0,0,"{1}{G}, Remove one or more +1/+1 counters from among creatures you control: Create an X/X green Ooze creature token, where X is the number of +1/+1 counters removed this way."
Gatecrash,Predator's Rapport,Common,{2}{G},g,Instant,0,0,0,5,0,5,0,0,Choose target creature you control. You gain life equal to that creature's power plus its toughness.
Gatecrash,Rust Scarab,Uncommon,{4}{G},g,Creature,insect,4,5,2,1,1,0,0,"Whenever Rust Scarab becomes blocked, you may destroy target artifact or enchantment defending player controls."
Gatecrash,Scab-Clan Charger,Common,{3}{G},g,Creature,"centaur, warrior",2,4,3,0,3,0,0,"Bloodrush â€” {1}{G}, Discard Scab-Clan Charger: Target attacking creature gets +2/+4 until end of turn."
Gatecrash,Serene Remembrance,Uncommon,{G},g,Sorcery,0,0,0,2,2,0,0,0,Shuffle Serene Remembrance and up to three target cards from a single graveyard into their owners' libraries.
Gatecrash,Skarrg Goliath,Rare,{6}{G}{G},g,Creature,beast,9,9,0,0,0,0,0,"Trample
Bloodrush â€” {5}{G}{G}, Discard Skarrg Goliath: Target attacking creature gets +9/+9 and gains trample until end of turn."
Gatecrash,Slaughterhorn,Common,{2}{G},g,Creature,beast,3,2,4,0,4,0,0,"Bloodrush â€” {G}, Discard Slaughterhorn: Target attacking creature gets +3/+2 until end of turn."
Gatecrash,Spire Tracer,Common,{G},g,Creature,"elf, scout",1,1,1,0,1,0,0,Spire Tracer can't be blocked except by creatures with flying or reach.
Gatecrash,Sylvan Primordial,Rare,{5}{G}{G},g,Creature,avatar,6,8,0,0,0,0,0,"Reach
When Sylvan Primordial enters the battlefield, for each opponent, destroy target noncreature permanent that player controls. For each permanent destroyed this way, search your library for a Forest card and put that card onto the battlefield tapped. Then shuffle your library."
Gatecrash,Tower Defense,Uncommon,{1}{G},g,Instant,0,0,0,1,0,1,0,0,Creatures you control get +0/+5 and gain reach until end of turn.
Gatecrash,Verdant Haven,Common,{2}{G},g,Enchantment,0,0,0,4,0,4,0,0,"Enchant land
When Verdant Haven enters the battlefield, you gain 2 life.
Whenever enchanted land is tapped for mana, its controller adds one mana of any color to his or her mana pool (in addition to the mana the land produces)."
Gatecrash,Wasteland Viper,Uncommon,{G},g,Creature,snake,1,2,3,3,0,0,0,"Deathtouch
Bloodrush â€” {G}, Discard Wasteland Viper: Target attacking creature gets +1/+2 and gains deathtouch until end of turn."
Gatecrash,Wildwood Rebirth,Common,{1}{G},g,Instant,0,0,0,1,0,1,0,0,Return target creature card from your graveyard to your hand.
